0.100,0.117,0.134,0.151,0.168
0.200,0.217,0.234,0.251,0.268
0.300,0.317,0.334,0.351,0.368
0.400,0.417,0.434,0.451,0.468
0.500,0.517,0.534,0.551,0.568
0.600,0.617,0.634,0.651,0.668
0.700,0.717,0.734,0.751,0.768
0.800,0.817,0.834,0.851,0.868
0.900,0.917,0.934,0.951,0.968
1.000,1.017,1.034,1.051,1.068
1.100,1.117,1.134,1.151,1.168
1.200,1.217,1.234,1.251,1.268
1.300,1.317,1.334,1.351,1.368
1.400,1.417,1.434,1.451,1.468
1.500,1.517,1.534,1.551,1.568
1.600,1.617,1.634,1.651,1.668
1.700,1.717,1.734,1.751,1.768
1.800,1.817,1.834,1.851,1.868
1.900,1.917,1.934,1.951,1.968
2.000,2.017,2.034,2.051,2.068
2.100,2.117,2.134,2.151,2.168
2.200,2.217,2.234,2.251,2.268
2.300,2.317,2.334,2.351,2.368
2.400,2.417,2.434,2.451,2.468
2.500,2.517,2.534,2.551,2.568
2.600,2.617,2.634,2.651,2.668
2.700,2.717,2.734,2.751,2.768
2.800,2.817,2.834,2.851,2.868
2.900,2.917,2.934,2.951,2.968
3.000,3.017,3.034,3.051,3.068
3.100,3.117,3.134,3.151,3.168
3.200,3.217,3.234,3.251,3.268
3.300,3.317,3.334,3.351,3.368
3.400,3.417,3.434,3.451,3.468
3.500,3.517,3.534,3.551,3.568
3.600,3.617,3.634,3.651,3.668
3.700,3.717,3.734,3.751,3.768
3.800,3.817,3.834,3.851,3.868
3.900,3.917,3.934,3.951,3.968
4.000,4.017,4.034,4.051,4.068
4.100,4.117,4.134,4.151,4.168
4.200,4.217,4.234,4.251,4.268
4.300,4.317,4.334,4.351,4.368
4.400,4.417,4.434,4.451,4.468
4.500,4.517,4.534,4.551,4.568
4.600,4.617,4.634,4.651,4.668
4.700,4.717,4.734,4.751,4.768
4.800,4.817,4.834,4.851,4.868
4.900,4.917,4.934,4.951,4.968
5.000,5.017,5.034,5.051,5.068
5.100,5.117,5.134,5.151,5.168
5.200,5.217,5.234,5.251,5.268
5.300,5.317,5.334,5.351,5.368
5.400,5.417,5.434,5.451,5.468
5.500,5.517,5.534,5.551,5.568
5.600,5.617,5.634,5.651,5.668
5.700,5.717,5.734,5.751,5.768
5.800,5.817,5.834,5.851,5.868
5.900,5.917,5.934,5.951,5.968
